tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
KO.KO9.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;0;;, , , , , , 
KO.KO10.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;4;;, , , , , , 
KO.KO11.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;8;;, , , , , , 
KO.KO12.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;12;;, , , , , , 
KO.KO13.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;16;;, , , , , , 
KO.KO14.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;20;;, , , , , , 
KO.KO15.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;24;;, , , , , , 
KO.KO16.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;28;;, , , , , , 
KO.Energy.U2;напряжение на секции 2;FLOAT (4 bytes);R;ИНР;0;32;;0.004, 0, , 0, 0.4, 0, 
KO.KO9.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;64;;, , , -1, 100, , 
KO.KO9.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;68;;, , , -1, 100, , 
KO.KO9.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;72;;, , , -1, 100, , 
KO.KO10.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;76;;, , , -1, 100, , 
KO.KO10.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;80;;, , , -1, 100, , 
KO.KO10.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;84;;, , , -1, 100, , 
KO.KO11.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;88;;, , , -1, 100, , 
KO.KO11.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;92;;, , , -1, 100, , 
KO.KO11.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;96;;, , , -1, 100, , 
KO.KO12.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;100;;, , , -1, 100, , 
KO.KO12.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;104;;, , , -1, 100, , 
KO.KO12.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;108;;, , , -1, 100, , 
KO.KO13.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;112;;, , , -1, 100, , 
KO.KO13.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;116;;, , , -1, 100, , 
KO.KO13.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;120;;, , , -1, 100, , 
KO.KO14.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;124;;, , , -1, 100, , 
KO.KO14.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;128;;, , , -1, 100, , 
