tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
Wash.NA1.H.Pos;Положение %;FLOAT (4 bytes);Read;ИНР;0;0;0.5;0
Wash.NA2.H.Pos;Положение %;FLOAT (4 bytes);Read;ИНР;0;4;0.5;4
Wash.NA3.H.Pos;Положение %;FLOAT (4 bytes);Read;ИНР;0;8;0.5;8
Wash.NA4.H.Pos;Положение %;FLOAT (4 bytes);Read;ИНР;0;12;0.5;12
Wash.NA5.H.Pos;Положение %;FLOAT (4 bytes);Read;ИНР;0;16;0.5;16
Wash.NA6.H.Pos;Положение %;FLOAT (4 bytes);Read;ИНР;0;20;0.5;20
Wash.NA1.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;24;3;24
Wash.NA2.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;28;3;28
Wash.NA3.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;32;3;32
Wash.NA4.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;36;3;36
Wash.NA5.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;40;3;40
Wash.NA6.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;44;3;44
Wash.NA1.P;Давление;FLOAT (4 bytes);Read;ИНР;0;48;3;48
Wash.NA2.P;Давление;FLOAT (4 bytes);Read;ИНР;0;52;3;52
Wash.NA3.P;Давление;FLOAT (4 bytes);Read;ИНР;0;56;3;56
Wash.NA4.P;Давление;FLOAT (4 bytes);Read;ИНР;0;60;3;60
Wash.NA5.P;Давление;FLOAT (4 bytes);Read;ИНР;0;60;3;60
Wash.NA6.P;Давление;FLOAT (4 bytes);Read;ИНР;0;64;3;64
Wash.Energy.U1;напряжение на секции 1;FLOAT (4 bytes);Read;ИНР;0;72;2;72
Wash.Energy.U2;напряжение на секции 2;FLOAT (4 bytes);Read;ИНР;0;76;2;76
Wash.P1;Давление пром. КО;FLOAT (4 bytes);Read;ИНР;0;80;2;80
Wash.P2;Давление пром. фильтры;FLOAT (4 bytes);Read;ИНР;0;84;2;84
Wash.RCV3M;Уровень РЧВ3;FLOAT (4 bytes);Read;ИНР;0;88;2;88
Wash.RCV4M;Уровень РЧВ4;FLOAT (4 bytes);Read;ИНР;0;92;2;92
Wash.RCV3;Уровень РЧВ3;FLOAT (4 bytes);Read;ИНР;0;96;2;96
Wash.RCV4;Уровень РЧВ4;FLOAT (4 bytes);Read;ИНР;0;100;2;100
Wash.E1;код Расход пром. КО;FLOAT (4 bytes);Read;ИНР;0;104;;104
Wash.E2;код Расход пром. фильтры;FLOAT (4 bytes);Read;ИНР;0;108;;108
Wash.E3;код Расход с КО;FLOAT (4 bytes);Read;ИНР;0;112;;112
Wash.E4;код Расход с МКФ1-3;FLOAT (4 bytes);Read;ИНР;0;116;2;116
Wash.E5;код Расход с МКФ4-9;FLOAT (4 bytes);Read;ИНР;0;120;2;120
Wash.NA1.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;0;&h00,3, &h01,2, &h04,1, &h05, 0;256
Wash.NA2.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;0;&h00,3, &h10,2, &h40,1, &h50, 0;256
Wash.NA1.B;Всасывающая задвижка;INT (1 byte);Read;ИНР;1;1;&h00,3, &h01,2, &h02,1, &h03, 0;257
Wash.NA2.B;Всасывающая задвижка;INT (1 byte);Read;ИНР;1;1;&h00,3, &h04,2, &h08,1, &h0C, 0;257
Wash.NP1;задвижка НП1;INT (1 byte);Read;ИНР;1;1;&h00,3, &h10,2, &h20,1, &h30, 0;257
Wash.NP2;задвижка НП2;INT (1 byte);Read;ИНР;1;1;&h00,3, &h40,2, &h80,1, &hC0, 0;257
Wash.NA3.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;2;&h00,3, &h01,2, &h04,1, &h05, 0;258
Wash.NA3.B;Всасывающая задвижка;INT (1 byte);Read;ИНР;1;3;&h00,3, &h01,2, &h02,1, &h03, 0;259
Wash.RV1;задвижка РВ1;INT (1 byte);Read;ИНР;1;3;&h00,3, &h04,2, &h08,1, &h0C, 0;259
Wash.KV1;задвижка KВ1;INT (1 byte);Read;ИНР;1;3;&h00,3, &h10,2, &h20,1, &h30, 0;259
Wash.KV2;задвижка KВ2;INT (1 byte);Read;ИНР;1;3;&h00,3, &h40,2, &h80,1, &hC0, 0;259
Wash.NA4.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;8;&h00,3, &h01,2, &h04,1, &h05, 0;264
Wash.NA5.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;8;&h00,3, &h10,2, &h40,1, &h50, 0;264
Wash.NA4.B;Всасывающая задвижка;INT (1 byte);Read;ИНР;1;9;&h00,3, &h01,2, &h02,1, &h03, 0;265
Wash.NA5.B;Всасывающая задвижка;INT (1 byte);Read;ИНР;1;9;&h00,3, &h04,2, &h08,1, &h0C, 0;265
Wash.NP3;задвижка НП3;INT (1 byte);Read;ИНР;1;9;&h00,3, &h10,2, &h20,1, &h30, 0;265
Wash.NP4;задвижка НП4;INT (1 byte);Read;ИНР;1;9;&h00,3, &h40,2, &h80,1, &hC0, 0;265
Wash.NA6.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;10;&h00,3, &h01,2, &h04,1, &h05, 0;266
Wash.OD;Обводная задвижка;INT (1 byte);Read;ИНР;1;10;&h00,3, &h10,2, &h40,1, &h50, 0;266
Wash.NA6.B;Всасывающая задвижка;INT (1 byte);Read;ИНР;1;11;&h00,3, &h01,2, &h02,1, &h03, 0;267
Wash.RV2;задвижка РВ2;INT (1 byte);Read;ИНР;1;11;&h00,3, &h04,2, &h08,1, &h0C, 0;267
Wash.RV3;задвижка РВ3;INT (1 byte);Read;ИНР;1;11;&h00,3, &h10,2, &h20,1, &h30, 0;267
Wash.KP1;задвижка KП1;INT (1 byte);Read;ИНР;1;18;&h00,3, &h01,2, &h02,1, &h03, 0;274
Wash.KP2;задвижка KП2;INT (1 byte);Read;ИНР;1;18;&h00,3, &h04,2, &h08,1, &h0C, 0;274
Wash.KP3;задвижка KП3;INT (1 byte);Read;ИНР;1;18;&h00,3, &h10,2, &h20,1, &h30, 0;274
Wash.KP4;задвижка KП4;INT (1 byte);Read;ИНР;1;18;&h00,3, &h40,2, &h80,1, &hC0, 0;274
Wash.NA_P;Насос отбора пробы;BOOL (1 bit);Read;ИНР;1;19;&h08;275
Wash.Energy.US1;Питание секции 1;BOOL (1 bit);Read;ИНР;1;19;&h01;275
Wash.Energy.US2;Питание секции 2;BOOL (1 bit);Read;ИНР;1;19;&h02;275
Wash.Energy.AVR;Авр;BOOL (1 bit);Read;ИНР;1;19;&h04;275
Wash.Al1;Охр. сиг-ция 1;BOOL (1 bit);Read;ИНР;1;19;&h10;275
Wash.Al2;Охр. сиг-ция 2;BOOL (1 bit);Read;ИНР;1;19;&h20;275
Wash.Al3;Охр. сиг-ция 3;BOOL (1 bit);Read;ИНР;1;19;&h40;275
Wash.Al4;Охр. сиг-ция 4;BOOL (1 bit);Read;ИНР;1;19;&h80;275
Wash.Zat1;Затопление1;BOOL (1 bit);Read;ИНР;1;25;&h40;281
Wash.Zat2;Затопление1;BOOL (1 bit);Read;ИНР;1;25;&h80;281
Wash.Fire1;Пож. сиг-ция1;BOOL (1 bit);Read;ИНР;1;25;&h10;281
Wash.Fire2;Пож. сиг-ция2;BOOL (1 bit);Read;ИНР;1;25;&h20;281
Wash.KV3;задвижка KВ3;INT (1 byte);Read;ИНР;1;26;&h00,3, &h01,2, &h02,1, &h03, 0;282
Wash.KV4;задвижка KВ4;INT (1 byte);Read;ИНР;1;26;&h00,3, &h04,2, &h08,1, &h0C, 0;282
Wash.KP5;задвижка KП5;INT (1 byte);Read;ИНР;1;26;&h00,3, &h10,2, &h20,1, &h30, 0;282
Wash.KP6;задвижка KП6;INT (1 byte);Read;ИНР;1;26;&h00,3, &h40,2, &h80,1, &hC0, 0;282
Wash.NA1.H.Motor;Привод;INT (4 bytes);Read;ИНР;1;44;&h00010001,1, &h00010000,1, &h00000001,1, &h00020002,2, &h00020000,2, &h00000002,2, &h00000000,3, &h000000F4,0;300
Wash.NA2.H.Motor;Привод;INT (4 bytes);Read;ИНР;1;48;&h00010001,1, &h00010000,1, &h00000001,1, &h00020002,2, &h00020000,2, &h00000002,2, &h00000000,3, &h000000F4,0;304
