tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
MKF.MKF1.L;Уровень барабана;FLOAT (4 bytes);R;ИНР;0;0;2;4, 0, , 0, 400, , 
MKF.MKF2.L;Уровень барабана;FLOAT (4 bytes);R;ИНР;0;4;2;4, 0, , 0, 400, , 
MKF.MKF3.L;Уровень барабана;FLOAT (4 bytes);R;ИНР;0;8;2;4, 0, , 0, 400, , 
MKF.MKF4.L;Уровень барабана;FLOAT (4 bytes);R;ИНР;0;12;2;4, 0, , 0, 400, , 
MKF.MKF5.L;Уровень барабана;FLOAT (4 bytes);R;ИНР;0;16;2;4, 0, , 0, 400, , 
MKF.MKF6.L;Уровень барабана;FLOAT (4 bytes);R;ИНР;0;20;2;4, 0, , 0, 400, , 
MKF.MKF7.L;Уровень барабана;FLOAT (4 bytes);R;ИНР;0;24;2;4, 0, , 0, 400, , 
MKF.MKF8.L;Уровень барабана;FLOAT (4 bytes);R;ИНР;0;28;2;4, 0, , 0, 400, , 
MKF.MKF9.L;Уровень барабана;FLOAT (4 bytes);R;ИНР;0;32;2;4, 0, , 0, 400, , 
MKF.Air.BA1.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;44;2;4, 0, , 0, 400, , 
MKF.Air.BA2.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;48;2;4, 0, , 0, 400, , 
MKF.Wash.NA1.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;52;2;4, 0, , 0, 400, , 
MKF.Wash.NA2.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;56;2;4, 0, , 0, 400, , 
MKF.Energy.U1;напряжение на секции 1;FLOAT (4 bytes);R;ИНР;0;60;2;0.04, 0, , 0, 4, , 
MKF.Energy.U2;напряжение на секции 2;FLOAT (4 bytes);R;ИНР;0;64;2;0.04, 0, , 0, 4, , 
MKF.Energy.I1;ток на секции 1;FLOAT (4 bytes);R;ИНР;0;68;2;5, 0, , 0, 500, , 
MKF.Energy.I2;ток на секции 2;FLOAT (4 bytes);R;ИНР;0;72;2;5, 0, , 0, 500, , 
MKF.Air.BA1.T1;Температура подш.1;FLOAT (4 bytes);R;ИНР;0;76;2;1.5, 0, , 150, , , 
MKF.Air.BA1.T2;Температура подш.2;FLOAT (4 bytes);R;ИНР;0;80;2;1.5, 0, , 150, , , 
MKF.Air.BA2.T1;Температура подш.1;FLOAT (4 bytes);R;ИНР;0;84;2;1.5, 0, , 150, , , 
MKF.Air.BA2.T2;Температура подш.2;FLOAT (4 bytes);R;ИНР;0;88;2;1.5, 0, , 150, , , 
MKF.MKF1-3.LIn;Уровень прием. кам.;FLOAT (4 bytes);R;ИНР;0;96;2;4, 0, , 0, 400, , 
MKF.MKF4-9.LIn;Уровень прием. кам.;FLOAT (4 bytes);R;ИНР;0;96;2;4, 0, , 0, 400, , 
MKF.MKF1-3.LOut;Уровень отх. кам.;FLOAT (4 bytes);R;ИНР;0;100;2;4, 0, , 0, 400, , 
MKF.MKF4-9.LOut;Уровень отх. кам.;FLOAT (4 bytes);R;ИНР;0;104;2;4, 0, , 0, 400, , 
MKF.Air.BA1.P;Давление;FLOAT (4 bytes);R;ИНР;0;128;2;0.04, 0, , 0, 4, , 
MKF.Air.BA2.P;Давление;FLOAT (4 bytes);R;ИНР;0;132;2;0.04, 0, , 0, 4, , 
MKF.Air.P;Давление воздуха;FLOAT (4 bytes);R;ИНР;0;136;2;0.04, 0, , 0, 4, , 
MKF.Air.E1;код Расход воздуха;FLOAT (4 bytes);R;ИНР;0;140;;, , , , , , 
MKF.Wash.NA1.P;Давление;FLOAT (4 bytes);R;ИНР;0;144;2;0.04, 0, , 0, 4, , 
MKF.Wash.NA2.P;Давление;FLOAT (4 bytes);R;ИНР;0;148;2;0.04, 0, , 0, 4, , 
MKF.Wash.NA1.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;152;;, , , , , , 
MKF.Wash.NA2.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;156;;, , , , , , 
MKF.MKF1.SH.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;160;0.5;, , , , , , 
MKF.MKF2.SH.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;164;0.5;, , , , , , 
MKF.MKF3.SH.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;168;0.5;, , , , , , 
MKF.MKF4.SH.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;172;0.5;, , , , , , 
MKF.MKF5.SH.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;176;0.5;, , , , , , 
MKF.MKF6.SH.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;180;0.5;, , , , , , 
MKF.MKF7.SH.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;184;0.5;, , , , , , 
MKF.MKF8.SH.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;188;0.5;, , , , , , 
MKF.MKF9.SH.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;192;0.5;, , , , , , 
MKF.MKF1-3.PF1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;208;0.5;, , , , , , 
MKF.MKF1-3.PF2.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;212;0.5;, , , , , , 
MKF.MKF4-9.PF3.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;216;0.5;, , , , , , 
MKF.MKF4-9.PF4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;220;0.5;, , , , , , 
MKF.MKF4-9.OTX3.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;224;0.5;, , , , , , 
MKF.MKF4-9.OTX4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;228;0.5;, , , , , , 
MKF.Air.BA1.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;232;0.5;, , , , , , 
MKF.Air.BA2.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;236;0.5;, , , , , , 
MKF.Air.BA1.B.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;240;0.5;, , , , , , 
MKF.Air.BA2.B.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;244;0.5;, , , , , , 
MKF.Wash.NA1.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;248;0.5;, , , , , , 
MKF.Wash.NA2.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;252;0.5;, , , , , , 
