tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
1p.ADC1.AI_1;Давление НА1;FLOAT (4 bytes);Read;ИНР;0;0;;0
1p.P1_NA1;Давление HA1;FLOAT (4 bytes);Read;ИНР;0;0;;0
1p.ADC1.AI_2;Давление НА2;FLOAT (4 bytes);Read;ИНР;0;4;;4
1p.P2_NA2;Давление HA2;FLOAT (4 bytes);Read;ИНР;0;4;;4
1p.ADC1.AI_3;Давление НА3;FLOAT (4 bytes);Read;ИНР;0;8;;8
1p.P3_NA3;Давление HA3;FLOAT (4 bytes);Read;ИНР;0;8;;8
1p.ADC1.AI_4;Давление НА4;FLOAT (4 bytes);Read;ИНР;0;12;;12
1p.P4_NA4;Давление HA4;FLOAT (4 bytes);Read;ИНР;0;12;;12
1p.ADC1.AI_5;Давление К1;FLOAT (4 bytes);Read;ИНР;0;16;;16
1p.P_K1;Давление K1;FLOAT (4 bytes);Read;ИНР;0;16;;16
1p.ADC1.AI_6;Давление К2;FLOAT (4 bytes);Read;ИНР;0;20;;20
1p.P_K2;Давление K2;FLOAT (4 bytes);Read;ИНР;0;20;;20
1p.ADC1.AI_7;Резерв;FLOAT (4 bytes);Read;ИНР;0;24;;24
1p.ADC1.AI_8;Резерв;FLOAT (4 bytes);Read;ИНР;0;28;;28
1p.ADC2.AI_1;Нагрузка НА1;FLOAT (4 bytes);Read;ИНР;0;32;;32
1p.NA1.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;32;;32
1p.ADC2.AI_2;Нагрузка НА2;FLOAT (4 bytes);Read;ИНР;0;36;;36
1p.NA2.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;36;;36
1p.ADC2.AI_3;Нагрузка НА3;FLOAT (4 bytes);Read;ИНР;0;40;;40
1p.NA3.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;40;;40
1p.ADC2.AI_4;Нагрузка НА4;FLOAT (4 bytes);Read;ИНР;0;44;;44
1p.NA4.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;44;;44
1p.ADC2.AI_5;Напряжение 6кВ_С1;FLOAT (4 bytes);Read;ИНР;0;48;;48
1p.U_6kV1;1Напряжение 6кВ;FLOAT (4 bytes);Read;ИНР;0;48;;48
1p.ADC2.AI_6;Напряжение 6кВ_С2;FLOAT (4 bytes);Read;ИНР;0;52;;52
1p.U_6kV2;2Напряжение 6кВ;FLOAT (4 bytes);Read;ИНР;0;52;;52
1p.ADC2.AI_7;Напряжение 04кВ_С1;FLOAT (4 bytes);Read;ИНР;0;56;;56
1p.U_04kV1;1Напряжение 0.4кВ;FLOAT (4 bytes);Read;ИНР;0;56;;56
1p.ADC2.AI_8;Напряжение 04кВ_С2;FLOAT (4 bytes);Read;ИНР;0;60;;60
1p.U_04kV2;2Напряжение 0.4кВ;FLOAT (4 bytes);Read;ИНР;0;60;;60
1p.DI1.DI(1);Готовность НА1;BOOL (1 bit);Read;ИНР;1;0;&h01;256
1p.NA1.NA1_G;Готовность НА1;BOOL (1 bit);Read;ИНР;1;0;&h01;256
1p.DI1.DI(2);Вкл НА1;BOOL (1 bit);Read;ИНР;1;4;&h01;260
1p.NA1;Включен НА1;BOOL (1 bit);Read;ИНР;1;4;&h01;260
1p.DI1.DI(3);Авария НА1;BOOL (1 bit);Read;ИНР;1;8;&h01;264
1p.NA1.NA1_A;Авария НА1;BOOL (1 bit);Read;ИНР;1;8;&h01;264
1p.DI1.DI(4);Готовность НА2;BOOL (1 bit);Read;ИНР;1;12;&h01;268
1p.NA2.NA2_G;Готовность НА2;BOOL (1 bit);Read;ИНР;1;12;&h01;268
1p.DI1.DI(5);Вкл НА2;BOOL (1 bit);Read;ИНР;1;16;&h01;272
1p.NA2;Включен НА2;BOOL (1 bit);Read;ИНР;1;16;&h01;272
1p.DI1.DI(6);Авария НА2;BOOL (1 bit);Read;ИНР;1;20;&h01;276
1p.NA2.NA2_A;Авария НА2;BOOL (1 bit);Read;ИНР;1;20;&h01;276
1p.DI1.DI(7);Готовность НА3;BOOL (1 bit);Read;ИНР;1;24;&h01;280
1p.NA3.NA3_G;Готовность НА3;BOOL (1 bit);Read;ИНР;1;24;&h01;280
1p.DI1.DI(8);Вкл НА3;BOOL (1 bit);Read;ИНР;1;28;&h01;284
1p.NA3;Включен НА3;BOOL (1 bit);Read;ИНР;1;28;&h01;284
1p.DI1.DI(9);Авария НА3;BOOL (1 bit);Read;ИНР;1;32;&h01;288
1p.NA3.NA3_A;Авария НА3;BOOL (1 bit);Read;ИНР;1;32;&h01;288
1p.DI1.DI(10);Готовность НА4;BOOL (1 bit);Read;ИНР;1;36;&h01;292
1p.NA4.NA4_G;Готовность НА4;BOOL (1 bit);Read;ИНР;1;36;&h01;292
1p.DI1.DI(11);Вкл НА4;BOOL (1 bit);Read;ИНР;1;40;&h01;296
1p.NA4;Включен НА4;BOOL (1 bit);Read;ИНР;1;40;&h01;296
1p.DI1.DI(12);Авария НА4;BOOL (1 bit);Read;ИНР;1;44;&h01;300
1p.NA4.NA4_A;Авария НА4;BOOL (1 bit);Read;ИНР;1;44;&h01;300
1p.DI1.DI(13);Охрана Шахты 1;BOOL (1 bit);Read;ИНР;1;48;&h01;304
1p.Al1;Охр. сиг-ция 1;BOOL (1 bit);Read;ИНР;1;48;&h01;304
1p.DI1.DI(14);Пожарная сигн;BOOL (1 bit);Read;ИНР;1;52;&h01;308
1p.Fire;Пож. сиг-ция;BOOL (1 bit);Read;ИНР;1;52;&h01;308
1p.DI1.DI(15);Уровень затопление;BOOL (1 bit);Read;ИНР;1;56;&h01;312
1p.Zat;Затопление;BOOL (1 bit);Read;ИНР;1;56;&h01;312
