tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
1p2.ADC1.AI_1;Давление НА1;FLOAT (4 bytes);Read;ИНР;0;0;;0
1p2.P1_NA1;Давление HA1;FLOAT (4 bytes);Read;ИНР;0;0;;0
1p2.ADC1.AI_2;Давление НА2;FLOAT (4 bytes);Read;ИНР;0;4;;4
1p2.P2_NA2;Давление HA2;FLOAT (4 bytes);Read;ИНР;0;4;;4
1p2.ADC1.AI_3;Давление НА3;FLOAT (4 bytes);Read;ИНР;0;8;;8
1p2.P3_NA3;Давление HA3;FLOAT (4 bytes);Read;ИНР;0;8;;8
1p2.ADC1.AI_4;Давление НА4;FLOAT (4 bytes);Read;ИНР;0;12;;12
1p2.P4_NA4;Давление HA4;FLOAT (4 bytes);Read;ИНР;0;12;;12
1p2.ADC1.AI_5;Давление К1;FLOAT (4 bytes);Read;ИНР;0;16;;16
1p2.P_K1;Давление K1;FLOAT (4 bytes);Read;ИНР;0;16;;16
1p2.ADC1.AI_6;Давление К2;FLOAT (4 bytes);Read;ИНР;0;20;;20
1p2.P_K2;Давление K2;FLOAT (4 bytes);Read;ИНР;0;20;;20
1p2.ADC1.AI_7;Резерв;FLOAT (4 bytes);Read;ИНР;0;24;;24
1p2.ADC1.AI_8;Резерв;FLOAT (4 bytes);Read;ИНР;0;28;;28
1p2.ADC2.AI_1;Нагрузка НА1;FLOAT (4 bytes);Read;ИНР;0;32;;32
1p2.NA1.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;32;;32
1p2.ADC2.AI_2;Нагрузка НА2;FLOAT (4 bytes);Read;ИНР;0;36;;36
1p2.NA2.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;36;;36
1p2.ADC2.AI_3;Нагрузка НА3;FLOAT (4 bytes);Read;ИНР;0;40;;40
1p2.NA3.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;40;;40
1p2.ADC2.AI_4;Нагрузка НА4;FLOAT (4 bytes);Read;ИНР;0;44;;44
1p2.NA4.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;44;;44
1p2.ADC2.AI_5;Напряжение 6кВ_С1;FLOAT (4 bytes);Read;ИНР;0;48;;48
1p2.U_6kV1;1Напряжение 6кВ;FLOAT (4 bytes);Read;ИНР;0;48;;48
1p2.ADC2.AI_6;Напряжение 6кВ_С2;FLOAT (4 bytes);Read;ИНР;0;52;;52
1p2.U_6kV2;2Напряжение 6кВ;FLOAT (4 bytes);Read;ИНР;0;52;;52
1p2.ADC2.AI_7;Напряжение 04кВ_С1;FLOAT (4 bytes);Read;ИНР;0;56;;56
1p2.U_04kV1;1Напряжение 0.4кВ;FLOAT (4 bytes);Read;ИНР;0;56;;56
1p2.ADC2.AI_8;Напряжение 04кВ_С2;FLOAT (4 bytes);Read;ИНР;0;60;;60
1p2.U_04kV2;2Напряжение 0.4кВ;FLOAT (4 bytes);Read;ИНР;0;60;;60
1p2.DI1.DI(1);Готовность НА1;BOOL (1 bit);Read;ИНР;1;0;&h01;256
1p2.NA1.NA1_G;Готовность НА1;BOOL (1 bit);Read;ИНР;1;0;&h01;256
1p2.DI1.DI(2);Вкл НА1;BOOL (1 bit);Read;ИНР;1;4;&h01;260
1p2.NA1;Включен НА1;BOOL (1 bit);Read;ИНР;1;4;&h01;260
1p2.DI1.DI(3);Авария НА1;BOOL (1 bit);Read;ИНР;1;8;&h01;264
1p2.NA1.NA1_A;Авария НА1;BOOL (1 bit);Read;ИНР;1;8;&h01;264
1p2.DI1.DI(4);Готовность НА2;BOOL (1 bit);Read;ИНР;1;12;&h01;268
1p2.NA2.NA2_G;Готовность НА2;BOOL (1 bit);Read;ИНР;1;12;&h01;268
1p2.DI1.DI(5);Вкл НА2;BOOL (1 bit);Read;ИНР;1;16;&h01;272
1p2.NA2;Включен НА2;BOOL (1 bit);Read;ИНР;1;16;&h01;272
1p2.DI1.DI(6);Авария НА2;BOOL (1 bit);Read;ИНР;1;20;&h01;276
1p2.NA2.NA2_A;Авария НА2;BOOL (1 bit);Read;ИНР;1;20;&h01;276
1p2.DI1.DI(7);Готовность НА3;BOOL (1 bit);Read;ИНР;1;24;&h01;280
1p2.NA3.NA3_G;Готовность НА3;BOOL (1 bit);Read;ИНР;1;24;&h01;280
1p2.DI1.DI(8);Вкл НА3;BOOL (1 bit);Read;ИНР;1;28;&h01;284
1p2.NA3;Включен НА3;BOOL (1 bit);Read;ИНР;1;28;&h01;284
1p2.DI1.DI(9);Авария НА3;BOOL (1 bit);Read;ИНР;1;32;&h01;288
1p2.NA3.NA3_A;Авария НА3;BOOL (1 bit);Read;ИНР;1;32;&h01;288
1p2.DI1.DI(10);Готовность НА4;BOOL (1 bit);Read;ИНР;1;36;&h01;292
1p2.NA4.NA4_G;Готовность НА4;BOOL (1 bit);Read;ИНР;1;36;&h01;292
1p2.DI1.DI(11);Вкл НА4;BOOL (1 bit);Read;ИНР;1;40;&h01;296
1p2.NA4;Включен НА4;BOOL (1 bit);Read;ИНР;1;40;&h01;296
1p2.DI1.DI(12);Авария НА4;BOOL (1 bit);Read;ИНР;1;44;&h01;300
1p2.NA4.NA4_A;Авария НА4;BOOL (1 bit);Read;ИНР;1;44;&h01;300
1p2.DI1.DI(13);Охрана Шахты 1;BOOL (1 bit);Read;ИНР;1;48;&h01;304
1p2.Al1;Охр. сиг-ция 1;BOOL (1 bit);Read;ИНР;1;48;&h01;304
1p2.DI1.DI(14);Пожарная сигн;BOOL (1 bit);Read;ИНР;1;52;&h01;308
1p2.Fire;Пож. сиг-ция;BOOL (1 bit);Read;ИНР;1;52;&h01;308
1p2.DI1.DI(15);Уровень затопление;BOOL (1 bit);Read;ИНР;1;56;&h01;312
1p2.Zat;Затопление;BOOL (1 bit);Read;ИНР;1;56;&h01;312
1p2.DI1.DI(16);Питание КР500;BOOL (1 bit);Read;ИНР;1;60;&h01;316
1p2.PIT;Питание КР500;BOOL (1 bit);Read;ИНР;1;60;&h01;316
1p2.DI2.DI(1-8);Задвижки напорные;INT (1 byte);Read;ИНР;1;64;;320
1p2.DI2.DI_1;Задвижка Н1 откр;BOOL (1 bit);Read;ИНР;1;64;&h01;320
1p2.DI2.DI_2;Задвижка Н1 закр;BOOL (1 bit);Read;ИНР;1;64;&h02;320
1p2.DI2.DI_3;Задвижка Н2 откр;BOOL (1 bit);Read;ИНР;1;64;&h04;320
1p2.DI2.DI_4;Задвижка Н2 закр;BOOL (1 bit);Read;ИНР;1;64;&h08;320
1p2.DI2.DI_5;Задвижка Н3 откр;BOOL (1 bit);Read;ИНР;1;64;&h10;320
1p2.DI2.DI_6;Задвижка Н3 закр;BOOL (1 bit);Read;ИНР;1;64;&h20;320
1p2.DI2.DI_7;Задвижка Н4 откр;BOOL (1 bit);Read;ИНР;1;64;&h40;320
1p2.DI2.DI_8;Задвижка Н4 закр;BOOL (1 bit);Read;ИНР;1;64;&h80;320
1p2.NA1.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;64;&h00,3, &h01,2, &h02,1, &h03, 0;320
1p2.NA2.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;64;&h00,3, &h04,2, &h08,1, &h0C, 0;320
1p2.NA3.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;64;&h00,3, &h10,2, &h20,1, &h30, 0;320
1p2.NA4.H;Напорная задвижка;INT (1 byte);Read;ИНР;1;64;&h00,3, &h40,2, &h80,1, &hC0, 0;320
1p2.DI2.DI(9-16);Задвижки коллек;INT (1 byte);Read;ИНР;1;65;;321
1p2.DI2.DI_9;Задвижка НК1 откр;BOOL (1 bit);Read;ИНР;1;65;&h01;321
1p2.DI2.DI_10;Задвижка НК1 закр;BOOL (1 bit);Read;ИНР;1;65;&h02;321
1p2.DI2.DI_11;Задвижка НК2 откр;BOOL (1 bit);Read;ИНР;1;65;&h04;321
1p2.DI2.DI_12;Задвижка НК2 закр;BOOL (1 bit);Read;ИНР;1;65;&h08;321
1p2.DI2.DI_13;Задвижка НК3 откр;BOOL (1 bit);Read;ИНР;1;65;&h10;321
1p2.DI2.DI_14;Задвижка НК3 закр;BOOL (1 bit);Read;ИНР;1;65;&h20;321
1p2.DI2.DI_15;Задвижка Г1 откр;BOOL (1 bit);Read;ИНР;1;65;&h40;321
1p2.DI2.DI_16;Задвижка Г1 закр;BOOL (1 bit);Read;ИНР;1;65;&h80;321
1p2.K1;Коллекторная задвижка 1;INT (1 byte);Read;ИНР;1;65;&h00,3, &h01,2, &h02,1, &h03, 0;321
1p2.K2;Коллекторная задвижка 2;INT (1 byte);Read;ИНР;1;65;&h00,3, &h04,2, &h08,1, &h0C, 0;321
1p2.K3;Коллекторная задвижка 3;INT (1 byte);Read;ИНР;1;65;&h00,3, &h10,2, &h20,1, &h30, 0;321
1p2.G1;;INT (1 byte);Read;ИНР;1;65;&h00,3, &h40,2, &h80,1, &hC0, 0;321
1p2.DI3.DI(1-8);Насосы дренажн;INT (1 byte);Read;ИНР;1;68;;324
1p2.DI3.DI_1;Готовность ДН1;BOOL (1 bit);Read;ИНР;1;68;&h01;324
1p2.DI3.DI_2;Включен ДН1;BOOL (1 bit);Read;ИНР;1;68;&h02;324
1p2.DI3.DI_3;Готовность ДН2;BOOL (1 bit);Read;ИНР;1;68;&h04;324
1p2.DI3.DI_4;Включен ДН2;BOOL (1 bit);Read;ИНР;1;68;&h08;324
1p2.DI3.DI_5;Готовность АН;BOOL (1 bit);Read;ИНР;1;68;&h10;324
1p2.DI3.DI_6;Включен АН;BOOL (1 bit);Read;ИНР;1;68;&h20;324
1p2.DI3.DI_7;Задвижка Г3 откр;BOOL (1 bit);Read;ИНР;1;68;&h40;324
1p2.DI3.DI_8;Задвижка Г3 закр;BOOL (1 bit);Read;ИНР;1;68;&h80;324
1p2.G2;;INT (1 byte);Read;ИНР;1;68;&h00,3, &h40,2, &h80,1, &hC0, 0;324
1p2.DN1;Дренажный Насос 1;INT (1 byte);Read;ИНР;1;68;&h00,0, &h01,2, &h02,3, &h03, 1;324
1p2.DN2;Дренажный Насос 2;INT (1 byte);Read;ИНР;1;68;&h00,0, &h04,2, &h08,3, &h0C, 1;324
1p2.ADN;Аварийный дренажный Насос;INT (1 byte);Read;ИНР;1;68;&h00,0, &h10,2, &h20,3, &h30, 1;324
1p2.DI3.DI(9-16);Задвижка Всасыв;INT (1 byte);Read;ИНР;1;69;;325
1p2.DI3.DI_9;Задвижка В1 откр;BOOL (1 bit);Read;ИНР;1;69;&h01;325
