tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
Filters.Filter1.Valve1.PosA;Положение %;FLOAT (4 bytes);R;ИНР;0;0;;1, 0, , -1, 101, , 
Filters.Filter1.Valve2.PosA;Положение %;FLOAT (4 bytes);R;ИНР;0;4;;1, 0, , -1, 101, , 
Filters.Filter1.Valve3.PosA;Положение %;FLOAT (4 bytes);R;ИНР;0;8;;1, 0, , -1, 101, , 
Filters.Filter1.Valve4.PosA;Положение %;FLOAT (4 bytes);R;ИНР;0;12;;1, 0, , -1, 101, , 
Filters.Filter1;Расход;FLOAT (4 bytes);R;ИНР;0;16;;, , , , , , 
Filters.Filter1.FlowA;Расход;FLOAT (4 bytes);R;ИНР;0;16;;1, 0, , 500, 1250, , 
Filters.Filter1.Level;Уровень;FLOAT (4 bytes);R;ИНР;0;20;;1, 0, , 75, 210, , 
Filters.Filter1.Valve1.Mode;Режим А/Р;BOOL (1 bit);R;ИНР;0;32;&h08;, , , , , , 
Filters.Filter1.Valve1.Open;Открыта;BOOL (1 bit);R;ИНР;0;32;&h01;, , , , , , 
Filters.Filter1.Valve1.Close;Закрыта;BOOL (1 bit);R;ИНР;0;32;&h02;, , , , , , 
Filters.Filter1.Valve1.Drive;Вкл/Откл привода;BOOL (1 bit);R;ИНР;0;32;&h04;, , , , , , 
Filters.Filter1.Valve2.Mode;Режим А/Р;BOOL (1 bit);R;ИНР;0;32;&h80;, , , , , , 
Filters.Filter1.Valve2.Open;Открыта;BOOL (1 bit);R;ИНР;0;32;&h10;, , , , , , 
Filters.Filter1.Valve2.Close;Закрыта;BOOL (1 bit);R;ИНР;0;32;&h20;, , , , , , 
Filters.Filter1.Valve2.Drive;Вкл/Откл привода;BOOL (1 bit);R;ИНР;0;32;&h40;, , , , , , 
Filters.Filter1.Valve3.Mode;Режим А/Р;BOOL (1 bit);R;ИНР;0;33;&h08;, , , , , , 
Filters.Filter1.Valve3.Open;Открыта;BOOL (1 bit);R;ИНР;0;33;&h01;, , , , , , 
Filters.Filter1.Valve3.Close;Закрыта;BOOL (1 bit);R;ИНР;0;33;&h02;, , , , , , 
Filters.Filter1.Valve3.Drive;Вкл/Откл привода;BOOL (1 bit);R;ИНР;0;33;&h04;, , , , , , 
Filters.Filter1.Valve4.Mode;Режим А/Р;BOOL (1 bit);R;ИНР;0;33;&h80;, , , , , , 
Filters.Filter1.Valve4.Open;Открыта;BOOL (1 bit);R;ИНР;0;33;&h10;, , , , , , 
Filters.Filter1.Valve4.Close;Закрыта;BOOL (1 bit);R;ИНР;0;33;&h20;, , , , , , 
Filters.Filter1.Valve4.Drive;Вкл/Откл привода;BOOL (1 bit);R;ИНР;0;33;&h40;, , , , , , 
Filters.Filter1.Regulator;Регулятор;BOOL (1 bit);R;ИНР;0;34;&h10;, , , , , , 
Filters.Filter1.Regulator.Auto;Вкл/Откл регулятор;INT (1 byte);R;ИНР;0;34;;, , , , , , 
Filters.Filter1.Regulator.Auto;Вкл/Откл регулятор;INT (1 byte);W;ДКМ;15;0;;, , , , , , Byte
Filters.Filter1.Valve1.In open;Открывается;BOOL (1 bit);R;ИНР;0;34;&h40;, , , , , , 
Filters.Filter1.Valve1.In close;Закрывается;BOOL (1 bit);R;ИНР;0;34;&h80;, , , , , , 
Filters.Filter1.Valve2.In open;Открывается;BOOL (1 bit);R;ИНР;0;35;&h01;, , , , , , 
Filters.Filter1.Valve2.In close;Закрывается;BOOL (1 bit);R;ИНР;0;35;&h02;, , , , , , 
Filters.Filter1.Valve3.In open;Открывается;BOOL (1 bit);R;ИНР;0;35;&h04;, , , , , , 
Filters.Filter1.Valve3.In close;Закрывается;BOOL (1 bit);R;ИНР;0;35;&h08;, , , , , , 
Filters.Filter1.Valve4.In open;Открывается;BOOL (1 bit);R;ИНР;0;35;&h10;, , , , , , 
Filters.Filter1.Valve4.In close;Закрывается;BOOL (1 bit);R;ИНР;0;35;&h20;, , , , , , 
Filters.Filter1.FlowA.lower;Диапазан min значение;FLOAT (4 bytes);R;ИНР;0;48;;, , , , , , 
Filters.Filter1.FlowA.lower;Диапазан min значение;FLOAT (4 bytes);W;ANY;24;13;;, , , , , , Single
Filters.Filter1.FlowA.top;Диапазан max значение;FLOAT (4 bytes);R;ИНР;0;52;;, , , , , , 
