tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
rashod.E1;Расход смеситель 1;FLOAT (4 bytes);Read;ИНР;0;0;;0
rashod.E2;Расход смеситель 2;FLOAT (4 bytes);Read;ИНР;0;4;;4
rashod.E3;Расход смеситель 3;FLOAT (4 bytes);Read;ИНР;0;8;;8
rashod.E4;Расход подача в город 1000-1;FLOAT (4 bytes);Read;ИНР;0;12;;12
rashod.E5;Расход подача в город 1000-2;FLOAT (4 bytes);Read;ИНР;0;16;;16
rashod.E6;Расход подача в город 900;FLOAT (4 bytes);Read;ИНР;0;20;;20
rashod.E7;Расход подача в город 800;FLOAT (4 bytes);Read;ИНР;0;24;;24
rashod.E8;Расход подача в город 600;FLOAT (4 bytes);Read;ИНР;0;28;;28
rashod.E11;Расход подача в город 800-2;FLOAT (4 bytes);Read;ИНР;0;32;;32
rashod.Esum1;Подъём сумма;FLOAT (4 bytes);Read;ИНР;0;36;;36
rashod.Esum2;Подача сумма;FLOAT (4 bytes);Read;ИНР;0;40;;40
rashod.MB1;Ошибка ModBus1;BOOL (1 bit);Read;ИНР;0;44;&h01;44
rashod.MB2;Ошибка ModBus2;BOOL (1 bit);Read;ИНР;0;48;&h01;48
rashod.MB3;Ошибка ModBus3;BOOL (1 bit);Read;ИНР;0;52;&h01;52
rashod.MB4;Ошибка ModBus4;BOOL (1 bit);Read;ИНР;0;56;&h01;56
rashod.MB5;Ошибка ModBus5;BOOL (1 bit);Read;ИНР;0;60;&h01;60
rashod.MB6;Ошибка ModBus6;BOOL (1 bit);Read;ИНР;0;64;&h01;64
rashod.MB7;Ошибка ModBus7;BOOL (1 bit);Read;ИНР;0;68;&h01;68
rashod.MB8;Ошибка ModBus8;BOOL (1 bit);Read;ИНР;0;72;&h01;72
rashod.MB9;Ошибка ModBus9;BOOL (1 bit);Read;ИНР;0;76;&h01;76
rashod.N1(1);номер прибора;INT (4 bytes);Read;ИНР;1;0;;256
rashod.EA1;Расход мгновенный;FLOAT (4 bytes);Read;ИНР;1;4;;260
rashod.EA1.(HH);Расход за текущий час;FLOAT (4 bytes);Read;ИНР;1;16;;272
rashod.EA1.(HH-1);Расход за прошедший час;FLOAT (4 bytes);Read;ИНР;1;20;;276
rashod.EA1.(DD);Расход за текущие сутки;FLOAT (4 bytes);Read;ИНР;1;24;;280
rashod.EA1.(DD-1);Расход за прошедшие сутки;FLOAT (4 bytes);Read;ИНР;1;28;;284
rashod.EA1.(MM);Расход за текущие месяц;FLOAT (4 bytes);Read;ИНР;1;32;;288
rashod.EA1.(MM-1);Расход за прошедший месяц;FLOAT (4 bytes);Read;ИНР;1;36;;292
rashod.EA1.(GG);Расход за текущие год;FLOAT (4 bytes);Read;ИНР;1;40;;296
rashod.EA1.(GG-1);Расход за прошедший год;FLOAT (4 bytes);Read;ИНР;1;44;;300
rashod.N2(2);номер прибора;INT (4 bytes);Read;ИНР;1;52;;308
rashod.EA2;Расход мгновенный;FLOAT (4 bytes);Read;ИНР;1;56;;312
rashod.EA2.(HH);Расход за текущий час;FLOAT (4 bytes);Read;ИНР;1;68;;324
