tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
sulfat.Mode_np1;Режим насоса перекачки НП1 (ручн./автом.);BOOL (1 bit);R;ИНР;0;0;;1, 0, , 0, 3000, , 
sulfat.Mode_np2;Режим насоса перекачки НП2 (ручн./автом.);BOOL (1 bit);R;ИНР;0;4;;1, 0, , 0, 3000, , 
sulfat.Mode_np3;Режим насоса перекачки НП3 (ручн./автом.);BOOL (1 bit);R;ИНР;0;8;;1, 0, , 0, 3000, , 
sulfat.S_rel_phases_R1;Срабатывание реле контроля фаз Шкаф1;BOOL (1 bit);R;ИНР;0;12;;1, 0, , 0, 3000, , 
sulfat.Ready_np1;Готовность насоса перекачки НП1;BOOL (1 bit);R;ИНР;0;16;;1, 0, , 0, 3000, , 
sulfat.Status_np1;Состояние насоса перекачки НП1 (вкл./откл);BOOL (1 bit);R;ИНР;0;20;;1, 0, , 0, 3000, , 
sulfat.Ready_np2;Готовность насоса перекачки НП2;BOOL (1 bit);R;ИНР;0;24;;1, 0, , 0, 3000, , 
sulfat.Status_np2;Состояние насоса перекачки НП2 (вкл./откл);BOOL (1 bit);R;ИНР;0;28;;1, 0, , 0, 3000, , 
sulfat.UPS_rezerv_R1;ИБП Переход на резерв Шкаф1;BOOL (1 bit);R;ИНР;0;32;;1, 0, , 0, 3000, , 
sulfat.UPS_battery_R1;ИБП Отсутствие АКБ Шкаф1;BOOL (1 bit);R;ИНР;0;36;;1, 0, , 0, 3000, , 
sulfat.UPS_voltage_R1;ИБП Отсутствие вых. Напряжения Шкаф1;BOOL (1 bit);R;ИНР;0;40;;1, 0, , 0, 3000, , 
sulfat.S_end_switch_R1;Концевик открытия двери шкафа1;BOOL (1 bit);R;ИНР;0;44;;1, 0, , 0, 3000, , 
sulfat.Ready_np3;Готовность насоса перекачки НП3;BOOL (1 bit);R;ИНР;0;48;;1, 0, , 0, 3000, , 
sulfat.Status_np3;Состояние насоса перекачки НП3 (вкл./откл);BOOL (1 bit);R;ИНР;0;52;;1, 0, , 0, 3000, , 
sulfat.U_main_R1;Напряжение 24В основное Шкаф1;BOOL (1 bit);R;ИНР;0;56;;1, 0, , 0, 3000, , 
