tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
SPIV.HA1_Rdy;Насос1 Готовность;BOOL (1 bit);Read;ИНР;0;0;&h01;0
SPIV.HA1_Run;Насос1 Работа;BOOL (1 bit);Read;ИНР;0;0;&h02;0
SPIV.HA1_Alr;Насос1 Авария;BOOL (1 bit);Read;ИНР;0;0;&h04;0
SPIV.HA1_Rem;Насос1 Местное/Дистанционное;BOOL (1 bit);Read;ИНР;0;0;&h08;0
SPIV.HA2_Rdy;Насос2 Готовность;BOOL (1 bit);Read;ИНР;0;0;&h10;0
SPIV.HA2_Run;Насос2 Работа;BOOL (1 bit);Read;ИНР;0;0;&h20;0
SPIV.HA2_Alr;Насос2 Авария;BOOL (1 bit);Read;ИНР;0;0;&h40;0
SPIV.HA2_Rem;Насос2 Местное/Дистанционное;BOOL (1 bit);Read;ИНР;0;0;&h80;0
SPIV.G1;Питание G1;BOOL (1 bit);Read;ИНР;0;1;&h01;1
SPIV.G2;Питание G2;BOOL (1 bit);Read;ИНР;0;1;&h02;1
SPIV.HA12_LUp;УправлениеН1Н2УровеньВерх;BOOL (1 bit);Read;ИНР;0;1;&h04;1
SPIV.HA12_LHalf;УправлениеН1Н2УровеньСред;BOOL (1 bit);Read;ИНР;0;1;&h08;1
SPIV.HA12_LMin;УправлениеН1Н2УровеньМин;BOOL (1 bit);Read;ИНР;0;1;&h10;1
SPIV.HA3_Rdy;Насос3 Готовность;BOOL (1 bit);Read;ИНР;0;1;&h20;1
SPIV.HA3_Run;Насос3 Работа;BOOL (1 bit);Read;ИНР;0;1;&h40;1
SPIV.HA3_Alr;Насос3 Авария;BOOL (1 bit);Read;ИНР;0;1;&h80;1
SPIV.DN1_Rdy;ДН1 Готовность;BOOL (1 bit);Read;ИНР;0;2;&h01;2
SPIV.DN1_Run;ДН1 Работа;BOOL (1 bit);Read;ИНР;0;2;&h02;2
SPIV.DN1_Alr;ДН1 Авария;BOOL (1 bit);Read;ИНР;0;2;&h04;2
SPIV.DN1_Rem;ДН1 Местное/Дистанционное;BOOL (1 bit);Read;ИНР;0;2;&h08;2
SPIV.DN2_Rdy;ДН2 Готовность;BOOL (1 bit);Read;ИНР;0;2;&h10;2
SPIV.DN2_Run;ДН2 Работа;BOOL (1 bit);Read;ИНР;0;2;&h20;2
SPIV.DN2_Alr;ДН2 Авария;BOOL (1 bit);Read;ИНР;0;2;&h40;2
SPIV.DN2_Rem;ДН2 Местное/Дистанционное;BOOL (1 bit);Read;ИНР;0;2;&h80;2
SPIV.HA1_Main;Насос1 Основной/Резервный;BOOL (1 bit);Read;ИНР;0;3;&h01;3
SPIV.HA2_Main;Насос2 Основной/Резервный;BOOL (1 bit);Read;ИНР;0;3;&h02;3
SPIV.DN1_Main;ДН1 Основной/Резервный;BOOL (1 bit);Read;ИНР;0;3;&h04;3
SPIV.DN2_Main;ДН2 Основной/Резервный;BOOL (1 bit);Read;ИНР;0;3;&h08;3
SPIV.AL1;Сигн-яАварийУровень1;BOOL (1 bit);Read;ИНР;0;3;&h10;3
SPIV.DN12_LUp;УправлениеДН1ДН2УровеньВерх;BOOL (1 bit);Read;ИНР;0;3;&h20;3
SPIV.DN12_LHalf;УправлениеДН1ДН2УровеньСред;BOOL (1 bit);Read;ИНР;0;3;&h40;3
SPIV.DN12_LMin;УправлениеДН1ДН2УровеньМин;BOOL (1 bit);Read;ИНР;0;3;&h80;3
SPIV.AL1_2;Сигн-яАварий2Уровень1;BOOL (1 bit);Read;ИНР;0;4;&h10;4
SPIV.Z1_opn;Затвор 1 открыт;BOOL (1 bit);Read;ИНР;0;5;&h01;5
SPIV.Z1_cls;Затвор 1 закрыт;BOOL (1 bit);Read;ИНР;0;5;&h02;5
