tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
NUR.AI_1;Давление в город;FLOAT (4 bytes);Read;ИНР;0;0;;0
NUR.P1_500;Давление ул. М.Павлова Университетская;FLOAT (4 bytes);Read;ИНР;0;0;;0
NUR.AI_2;Расход в город;FLOAT (4 bytes);Read;ИНР;0;4;;4
NUR.E1_500;Расход ул. М.Павлова;FLOAT (4 bytes);Read;ИНР;0;4;;4
NUR.AI_3;Давление Контур;FLOAT (4 bytes);Read;ИНР;0;8;;8
NUR.P2_500;Давление ул. Университетская;FLOAT (4 bytes);Read;ИНР;0;8;;8
NUR.AI_4;Расход Контур;FLOAT (4 bytes);Read;ИНР;0;12;;12
NUR.E2_500;Расход ул. Университетская;FLOAT (4 bytes);Read;ИНР;0;12;;12
NUR.AI_5;Темп машзал;FLOAT (4 bytes);Read;ИНР;0;16;;16
NUR.AI_6;Темп щитовая;FLOAT (4 bytes);Read;ИНР;0;20;;20
NUR.AI_7;Давление вход1;FLOAT (4 bytes);Read;ИНР;0;24;;24
NUR.P3_VK;Давление от D-800;FLOAT (4 bytes);Read;ИНР;0;24;;24
NUR.AI_8;Давление вход2;FLOAT (4 bytes);Read;ИНР;0;28;;28
NUR.P4_VK;Давление от D-1000;FLOAT (4 bytes);Read;ИНР;0;28;;28
NUR.DO_1;Резерв;BOOL (1 bit);Read;ИНР;0;32;&h01;32
NUR.DO_2;Резерв;BOOL (1 bit);Read;ИНР;0;32;&h02;32
NUR.DO_3;Резерв;BOOL (1 bit);Read;ИНР;0;32;&h04;32
NUR.DO_4;Резерв;BOOL (1 bit);Read;ИНР;0;32;&h08;32
NUR.AI_21;Нагрузка НА1;FLOAT (4 bytes);Read;ИНР;0;40;;40
NUR.NA1.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;40;;40
NUR.AI_22;Нагрузка НА2;FLOAT (4 bytes);Read;ИНР;0;44;;44
NUR.NA2.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;44;;44
NUR.AI_23;Нагрузка НА3;FLOAT (4 bytes);Read;ИНР;0;48;;48
NUR.NA3.I;Ток нагрузки;FLOAT (4 bytes);Read;ИНР;0;48;;48
