tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
3P2.ADC1.AI_1;Резерв;FLOAT (4 bytes);R;ИНР;0;0;;1, 0, , 0, 100, , 
3P2.P1_800;Давление D-800;FLOAT (4 bytes);R;ИНР;0;0;;0.1, 0, , 0, 10, , 
3P2.ADC1.AI_2;Резерв;FLOAT (4 bytes);R;ИНР;0;4;;1, 0, , 0, 100, , 
3P2.P2_800;Давление D-800;FLOAT (4 bytes);R;ИНР;0;4;;0.1, 0, , 0, 10, , 
3P2.ADC1.AI_3;Резерв;FLOAT (4 bytes);R;ИНР;0;8;;1, 0, , 0, 100, , 
3P2.P3_700;Давление D-700;FLOAT (4 bytes);R;ИНР;0;8;;0.1, 0, , 0, 10, , 
3P2.ADC1.AI_4;Резерв;FLOAT (4 bytes);R;ИНР;0;12;;1, 0, , 0, 100, , 
3P2.P4_700;Давление D-700;FLOAT (4 bytes);R;ИНР;0;12;;0.1, 0, , 0, 10, , 
3P2.ADC1.AI_5;Резерв;FLOAT (4 bytes);R;ИНР;0;16;;1, 0, , 0, 100, , 
3P2.ADC1.AI_6;уровень РЧВ1;FLOAT (4 bytes);R;ИНР;0;20;;1, 0, , 0, 100, , 
3P2.RCV1;Уровень РЧВ 1;FLOAT (4 bytes);R;ИНР;0;20;;6, 0, , 0, 600, , 
3P2.ADC1.AI_7;уровень РЧВ2;FLOAT (4 bytes);R;ИНР;0;24;;1, 0, , 0, 100, , 
3P2.RCV2;Уровень РЧВ 2;FLOAT (4 bytes);R;ИНР;0;24;;6, 0, , 0, 600, , 
3P2.NA2.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;24;;1, 0, , 0, 100, , 
3P2.NA3.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;24;;1, 0, , 0, 100, , 
3P2.NA4.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;24;;1, 0, , 0, 100, , 
3P2.ADC1.AI_8;уровень РЧВ3;FLOAT (4 bytes);R;ИНР;0;28;;6, 0, , 0, 600, , 
3P2.RCV3;Уровень РЧВ 3;FLOAT (4 bytes);R;ИНР;0;28;;6, 0, , 0, 600, , 
3P2.NA1.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA1.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA2.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA3.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA4.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA5.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA5.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA6.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA6.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA7.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA7.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA8.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA8.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA9.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.NA9.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
3P2.ADC2.AI_1;Расход ЧЗТП;FLOAT (4 bytes);R;ИНР;0;32;;40, 0, , 0, 4000, , 
3P2.E1_800;Расход ЧЗПТ D-1000;FLOAT (4 bytes);R;ИНР;0;32;;40, 0, , 0, 4000, , 
3P2.ADC2.AI_2;Расход Ник;FLOAT (4 bytes);R;ИНР;0;36;;40, 0, , 0, 4000, , 
3P2.E2_800;Расход ул.Николаева;FLOAT (4 bytes);R;ИНР;0;36;;40, 0, , 0, 4000, , 
3P2.ADC2.AI_3;Расход НЮР;FLOAT (4 bytes);R;ИНР;0;40;;50, 0, , 0, 5000, , 
3P2.E3_1000;"Расход ТЭЦ2 пнс ""НЮР""";FLOAT (4 bytes);R;ИНР;0;40;;50, 0, , 0, 5000, , 
3P2.ADC2.AI_4;Расход Южн;FLOAT (4 bytes);R;ИНР;0;44;;30, 0, , 0, 3000, , 
3P2.E4_700;Расход Южная промзона;FLOAT (4 bytes);R;ИНР;0;44;;30, 0, , 0, 3000, , 
3P2.ADC2.AI_5;Расход ПромЗона;FLOAT (4 bytes);R;ИНР;0;48;;30, 0, , 0, 3000, , 
3P2.E5_700;Расход РЧВ Мясокомбинат;FLOAT (4 bytes);R;ИНР;0;48;;30, 0, , 0, 3000, , 
3P2.ADC2.AI_6;Резерв;FLOAT (4 bytes);R;ИНР;0;52;;1, 0, , 0, 100, , 
