tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
NLAP.ADC(1);Давление коллектор №1;FLOAT (4 bytes);Read;ИНР;0;0;;0
NLAP.PI_1;Давления вход 1;FLOAT (4 bytes);Read;ИНР;0;0;;0
NLAP.ADC(2);Давление коллектор №2;FLOAT (4 bytes);Read;ИНР;0;4;;4
NLAP.PO_1;Давления выход 1;FLOAT (4 bytes);Read;ИНР;0;4;;4
NLAP.ADC(3);Резерв;FLOAT (4 bytes);Read;ИНР;0;8;;8
NLAP.ADC(4);Резерв;FLOAT (4 bytes);Read;ИНР;0;12;;12
NLAP.Tmk;Температура на MK500;FLOAT (4 bytes);Read;ИНР;0;16;;16
NLAP.ADC(5);Нагрузка ПЧ1;FLOAT (4 bytes);Read;ИНР;0;24;;24
NLAP.ADC(6);Нагрузка ПЧ2;FLOAT (4 bytes);Read;ИНР;0;28;;28
NLAP.ADC(7);Нагрузка ПЧ3;FLOAT (4 bytes);Read;ИНР;0;32;;32
NLAP.ADC(8);Резерв;FLOAT (4 bytes);Read;ИНР;0;36;;36
NLAP.DI(32);Вход.C01-C32;INT (4 bytes);Read;ИНР;0;40;;40
NLAP.C1;Готовность НА1 сеть;BOOL (1 bit);Read;ИНР;0;40;&h01;40
NLAP.C2;Готовность НА1 ПЧ;BOOL (1 bit);Read;ИНР;0;40;&h02;40
NLAP.C3;Вкл. НА1;BOOL (1 bit);Read;ИНР;0;40;&h04;40
NLAP.C4;Авария НА1;BOOL (1 bit);Read;ИНР;0;40;&h08;40
NLAP.C5;Готовность ПЧ1;BOOL (1 bit);Read;ИНР;0;40;&h10;40
NLAP.C6;Работа ПЧ1;BOOL (1 bit);Read;ИНР;0;40;&h20;40
NLAP.C7;Авария ПЧ1;BOOL (1 bit);Read;ИНР;0;40;&h40;40
NLAP.C8;Готовность НА2 сеть;BOOL (1 bit);Read;ИНР;0;40;&h80;40
NLAP.C9;Готовность НА2 ПЧ;BOOL (1 bit);Read;ИНР;0;41;&h01;41
NLAP.C10;Вкл. НА2;BOOL (1 bit);Read;ИНР;0;41;&h02;41
NLAP.C11;Авария НА2;BOOL (1 bit);Read;ИНР;0;41;&h04;41
NLAP.C12;Готовность ПЧ2;BOOL (1 bit);Read;ИНР;0;41;&h08;41
NLAP.C13;Работа ПЧ2;BOOL (1 bit);Read;ИНР;0;41;&h10;41
NLAP.C14;Авария ПЧ2;BOOL (1 bit);Read;ИНР;0;41;&h20;41
NLAP.C15;Готовность НА3 сеть;BOOL (1 bit);Read;ИНР;0;41;&h40;41
NLAP.C16;Готовность НА3 ПЧ;BOOL (1 bit);Read;ИНР;0;41;&h80;41
NLAP.C17;Вкл. НА3;BOOL (1 bit);Read;ИНР;0;42;&h01;42
NLAP.C18;Авария НА3;BOOL (1 bit);Read;ИНР;0;42;&h02;42
NLAP.C19;Готовность ПЧ3;BOOL (1 bit);Read;ИНР;0;42;&h04;42
NLAP.C20;Работа ПЧ3;BOOL (1 bit);Read;ИНР;0;42;&h08;42
NLAP.C21;Авария ПЧ3;BOOL (1 bit);Read;ИНР;0;42;&h10;42
NLAP.C22;питание ПТК;BOOL (1 bit);Read;ИНР;0;42;&h20;42
NLAP.C23;АВР включено;BOOL (1 bit);Read;ИНР;0;42;&h40;42
NLAP.C24;Охрана НС;BOOL (1 bit);Read;ИНР;0;42;&h80;42
NLAP.C25;Резерв;BOOL (1 bit);Read;ИНР;0;43;&h01;43
NLAP.C26;Резерв;BOOL (1 bit);Read;ИНР;0;43;&h02;43
NLAP.C27;Резерв;BOOL (1 bit);Read;ИНР;0;43;&h04;43
NLAP.C28;Резерв;BOOL (1 bit);Read;ИНР;0;43;&h08;43
NLAP.C29;Резерв;BOOL (1 bit);Read;ИНР;0;43;&h10;43
NLAP.C30;Резерв;BOOL (1 bit);Read;ИНР;0;43;&h20;43
NLAP.C31;Резерв;BOOL (1 bit);Read;ИНР;0;43;&h40;43
NLAP.C32;Резерв;BOOL (1 bit);Read;ИНР;0;43;&h80;43
NLAP.N1(HH);Мото/час за текущий час;INT (4 bytes);Read;ИНР;0;44;;44
NLAP.N1(HH-1);Мото/час за прошедший час;INT (4 bytes);Read;ИНР;0;48;;48
NLAP.N1(DD);Мото/час за текущие сутки;INT (4 bytes);Read;ИНР;0;52;;52
NLAP.N1(DD-1);Мото/час за прошедшие сутки;INT (4 bytes);Read;ИНР;0;56;;56
NLAP.N1(MM);Мото/час за текущий мес.;INT (4 bytes);Read;ИНР;0;60;;60
NLAP.N1(MM-1);Мото/час за прошедший мес.;INT (4 bytes);Read;ИНР;0;64;;64
NLAP.N1(YY);Мото/час за текущий год;INT (4 bytes);Read;ИНР;0;68;;68
NLAP.N1(YY-1);Мото/час за прошедший год;INT (4 bytes);Read;ИНР;0;72;;72
NLAP.N1(Q);Мото/час всего;INT (4 bytes);Read;ИНР;0;76;;76
NLAP.N2(HH);Мото/час за текущий час;INT (4 bytes);Read;ИНР;0;80;;80
NLAP.N2(HH-1);Мото/час за прошедший час;INT (4 bytes);Read;ИНР;0;84;;84
NLAP.N2(DD);Мото/час за текущие сутки;INT (4 bytes);Read;ИНР;0;88;;88
NLAP.N2(DD-1);Мото/час за прошедшие сутки;INT (4 bytes);Read;ИНР;0;92;;92
NLAP.N2(MM);Мото/час за текущий мес.;INT (4 bytes);Read;ИНР;0;96;;96
NLAP.N2(MM-1);Мото/час за прошедший мес.;INT (4 bytes);Read;ИНР;0;100;;100
NLAP.N2(YY);Мото/час за текущий год;INT (4 bytes);Read;ИНР;0;104;;104
