tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
mkBG.PKI_1;Давления вход 1;FLOAT (4 bytes);R;ИНР;0;0;;0.01, 0, , 0, 10, , 
mkBG.PKO_1;Давления выход 1;FLOAT (4 bytes);R;ИНР;0;4;;0.01, 0, , 0, 10, , 
mkBG.PKI_2;Давления вход 2;FLOAT (4 bytes);R;ИНР;0;8;;0.01, 0, , 0, 10, , 
mkBG.PKO_2;Давления выход 2;FLOAT (4 bytes);R;ИНР;0;12;;0.01, 0, , 0, 10, , 
mkBG.PN_1;Давления НА1;FLOAT (4 bytes);R;ИНР;0;16;;0.01, 0, , 0, 10, , 
mkBG.PN_2;Давления НА2;FLOAT (4 bytes);R;ИНР;0;20;;0.01, 0, , 0, 10, , 
mkBG.PN_3;Давления НА3;FLOAT (4 bytes);R;ИНР;0;24;;0.01, 0, , 0, 10, , 
mkBG.PN_4;Давления НА4;FLOAT (4 bytes);R;ИНР;0;28;;0.01, 0, , 0, 10, , 
mkBG.PN_5;Давления НА5;FLOAT (4 bytes);R;ИНР;0;32;;0.01, 0, , 0, 10, , 
mkBG.PN_6;Давления НА6;FLOAT (4 bytes);R;ИНР;0;36;;0.01, 0, , 0, 10, , 
mkBG.PN_7;Давления НА7;FLOAT (4 bytes);R;ИНР;0;40;;0.01, 0, , 0, 10, , 
mkBG.PN_8;Давления НА8;FLOAT (4 bytes);R;ИНР;0;44;;0.01, 0, , 0, 10, , 
mkBG.PN_9;Давления НА9;FLOAT (4 bytes);R;ИНР;0;48;;0.01, 0, , 0, 10, , 
mkBG.PN_10;Давления НА10;FLOAT (4 bytes);R;ИНР;0;52;;0.01, 0, , 0, 10, , 
mkBG.EK_1;Расход 1;FLOAT (4 bytes);R;ИНР;0;56;;0.124, 0, , 0, 100, , 
mkBG.EK_2;Расход 2;FLOAT (4 bytes);R;ИНР;0;60;;0.124, 0, , 0, 100, , 
mkBG.T_M;Температура машзал;FLOAT (4 bytes);R;ИНР;0;64;;0.01, 0, , 0, 50, , 
mkBG.T_SH;Температура в шкафу;FLOAT (4 bytes);R;ИНР;0;68;;0.01, 0, , 0, 50, , 
