tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
sosn.MZ_AI1;Расход скважина №1 %;FLOAT (4 bytes);Read;ИНР;0;0;;0
sosn.MZ_AI2;Расход скважина №2 %;FLOAT (4 bytes);Read;ИНР;0;4;;4
sosn.MZ_AI3;Резерв;FLOAT (4 bytes);Read;ИНР;0;8;;8
sosn.MZ_AI4;Резерв;FLOAT (4 bytes);Read;ИНР;0;12;;12
sosn.Tmk;Температура на MK500;FLOAT (4 bytes);Read;ИНР;0;16;;16
sosn.MZ_DI1;Готовность НА1;BOOL (1 bit);Read;ИНР;0;20;&h01;20
sosn.MZ_DI2;Вкл. НА1;BOOL (1 bit);Read;ИНР;0;24;&h01;24
sosn.MZ_DI3;Готовность НА2;BOOL (1 bit);Read;ИНР;0;28;&h01;28
sosn.MZ_DI4;Вкл. НА2;BOOL (1 bit);Read;ИНР;0;32;&h01;32
sosn.MZ_DI5;Питание ПТК;BOOL (1 bit);Read;ИНР;0;36;&h01;36
sosn.MZ_DI6;Резерв;BOOL (1 bit);Read;ИНР;0;40;&h01;40
sosn.MZ_DI7;Резерв;BOOL (1 bit);Read;ИНР;0;44;&h01;44
sosn.MZ_DI8;Резерв;BOOL (1 bit);Read;ИНР;0;48;&h01;48
sosn.MB_Er;ошибка ModBus;BOOL (1 bit);Read;ИНР;0;52;&h01;52
sosn.MB_rez;Резерв;BOOL (1 bit);Read;ИНР;0;56;&h01;56
sosn.N1S(DD);Мото/час за текущие сутки;FLOAT (4 bytes);Read;ИНР;0;60;;60
sosn.N1S(DD-1);Мото/час за прошедшие сутки;FLOAT (4 bytes);Read;ИНР;0;64;;64
sosn.N1S(MM);Мото/час за текущий мес.;FLOAT (4 bytes);Read;ИНР;0;68;;68
sosn.N1S(MM-1);Мото/час за прошедший мес.;FLOAT (4 bytes);Read;ИНР;0;72;;72
sosn.N1S(YY);Мото/час за текущий год;FLOAT (4 bytes);Read;ИНР;0;76;;76
sosn.N2S(DD);Мото/час за текущие сутки;FLOAT (4 bytes);Read;ИНР;0;80;;80
sosn.N2S(DD-1);Мото/час за прошедшие сутки;FLOAT (4 bytes);Read;ИНР;0;84;;84
sosn.N2S(MM);Мото/час за текущий мес.;FLOAT (4 bytes);Read;ИНР;0;88;;88
sosn.N2S(MM-1);Мото/час за прошедший мес.;FLOAT (4 bytes);Read;ИНР;0;92;;92
sosn.N2S(YY);Мото/час за текущий год;FLOAT (4 bytes);Read;ИНР;0;96;;96
sosn.rez1;Резерв;FLOAT (4 bytes);Read;ИНР;0;100;;100
sosn.E_SK1;Расход скв №1 72;FLOAT (4 bytes);Read;ИНР;0;104;;104
sosn.CK1;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;0;104;;104
sosn.E_SK2;Расход скв №2 72;FLOAT (4 bytes);Read;ИНР;0;108;;108
sosn.CK2;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;0;108;;108
sosn.CK1.Q(HH);Объем за текущий час;FLOAT (4 bytes);Read;ИНР;0;116;;116
sosn.CK1.Q(HH-1);Объем за прошедший час;FLOAT (4 bytes);Read;ИНР;0;120;;120
sosn.CK1.Q(DD);Объем за текущие сутки;FLOAT (4 bytes);Read;ИНР;0;124;;124
sosn.CK1.Q(DD-1);Объем за прошедшие сутки;FLOAT (4 bytes);Read;ИНР;0;128;;128
sosn.CK1.Q(MM);Объем за текущий месяц;FLOAT (4 bytes);Read;ИНР;0;132;;132
sosn.CK1.Q(MM-1);Объем за прошедший месяц;FLOAT (4 bytes);Read;ИНР;0;136;;136
sosn.CK1.Q(GG);Объем за текущий ГОД;FLOAT (4 bytes);Read;ИНР;0;140;;140
sosn.CK1.Q(GG-1);Объем за прошедший ГОД;FLOAT (4 bytes);Read;ИНР;0;144;;144
sosn.CK2.Q(HH);Объем за текущий час;FLOAT (4 bytes);Read;ИНР;0;152;;152
sosn.CK2.Q(HH-1);Объем за прошедший час;FLOAT (4 bytes);Read;ИНР;0;156;;156
sosn.CK2.Q(DD);Объем за текущие сутки;FLOAT (4 bytes);Read;ИНР;0;160;;160
sosn.CK2.Q(DD-1);Объем за прошедшие сутки;FLOAT (4 bytes);Read;ИНР;0;164;;164
sosn.CK2.Q(MM);Объем за текущий месяц;FLOAT (4 bytes);Read;ИНР;0;168;;168
sosn.CK2.Q(MM-1);Объем за прошедший месяц;FLOAT (4 bytes);Read;ИНР;0;172;;172
sosn.CK2.Q(GG);Объем за текущий ГОД;FLOAT (4 bytes);Read;ИНР;0;176;;176
sosn.CK2.Q(GG-1);Объем за прошедший ГОД;FLOAT (4 bytes);Read;ИНР;0;180;;180
sosn.CT.Q(HH);Объем за текущий час;FLOAT (4 bytes);Read;ИНР;0;184;;184
sosn.CT.Q(HH-1);Объем за прошедший час;FLOAT (4 bytes);Read;ИНР;0;188;;188
sosn.CT.Q(DD);Объем за текущие сутки;FLOAT (4 bytes);Read;ИНР;0;192;;192
sosn.CT.Q(DD-1);Объем за прошедшие сутки;FLOAT (4 bytes);Read;ИНР;0;196;;196
sosn.CT.Q(MM);Объем за текущий месяц;FLOAT (4 bytes);Read;ИНР;0;200;;200
sosn.CT.Q(MM-1);Объем за прошедший месяц;FLOAT (4 bytes);Read;ИНР;0;204;;204
sosn.CT.Q(GG);Объем за текущий ГОД;FLOAT (4 bytes);Read;ИНР;0;208;;208
sosn.Cpr.Q(HH);Объем за текущий час;FLOAT (4 bytes);Read;ИНР;0;212;;212
sosn.Cpr.Q(HH-1);Объем за прошедший час;FLOAT (4 bytes);Read;ИНР;0;216;;216
sosn.Cpr.Q(DD);Объем за текущие сутки;FLOAT (4 bytes);Read;ИНР;0;220;;220
sosn.Cpr.Q(DD-1);Объем за прошедшие сутки;FLOAT (4 bytes);Read;ИНР;0;224;;224
sosn.Cpr.Q(MM);Объем за текущий месяц;FLOAT (4 bytes);Read;ИНР;0;228;;228
sosn.Cpr.Q(MM-1);Объем за прошедший месяц;FLOAT (4 bytes);Read;ИНР;0;232;;232
sosn.Cpr.Q(GG);Объем за текущий ГОД;FLOAT (4 bytes);Read;ИНР;0;236;;236
sosn.Kod84;Код станции;INT (4 bytes);Read;ИНР;1;0;;256
sosn.Kod65;Производительность;FLOAT (4 bytes);Read;ИНР;1;4;;260
sosn.P_in;Давление на входе;FLOAT (4 bytes);Read;ИНР;1;8;;264
sosn.P_out;Давление на выходе;FLOAT (4 bytes);Read;ИНР;1;12;;268
sosn.E_in;Расход на входе;FLOAT (4 bytes);Read;ИНР;1;16;;272
sosn.CT;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;16;;272
sosn.E_prom;Расход на промывку;FLOAT (4 bytes);Read;ИНР;1;20;;276
sosn.Cpr;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;20;;276
sosn.UOV1_v;УОВ1 вкл;BOOL (1 bit);Read;ИНР;1;24;&h01;280
sosn.UOV1_a;УОВ1 авария;BOOL (1 bit);Read;ИНР;1;28;&h01;284
