tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
okt.MZ_AI1;Расход скважина №1 %;FLOAT (4 bytes);Read;ИНР;0;0;;0
okt.MZ_AI2;Резерв;FLOAT (4 bytes);Read;ИНР;0;4;;4
okt.MZ_AI3;Резерв;FLOAT (4 bytes);Read;ИНР;0;8;;8
okt.MZ_AI4;Резерв;FLOAT (4 bytes);Read;ИНР;0;12;;12
okt.Tmk;Температура на MK500;FLOAT (4 bytes);Read;ИНР;0;16;;16
okt.MZ_DI1;Готовность НА1;BOOL (1 bit);Read;ИНР;0;20;&h01;20
okt.MZ_DI2;Вкл. НА1;BOOL (1 bit);Read;ИНР;0;24;&h01;24
okt.MZ_DI3;Резерв;BOOL (1 bit);Read;ИНР;0;28;&h01;28
okt.MZ_DI4;Резерв;BOOL (1 bit);Read;ИНР;0;32;&h01;32
okt.MZ_DI5;Резерв;BOOL (1 bit);Read;ИНР;0;36;&h01;36
okt.MZ_DI6;Резерв;BOOL (1 bit);Read;ИНР;0;40;&h01;40
okt.MZ_DI7;Резерв;BOOL (1 bit);Read;ИНР;0;44;&h01;44
okt.MZ_DI8;Резерв;BOOL (1 bit);Read;ИНР;0;48;&h01;48
okt.MB_Er;ошибка ModBus;BOOL (1 bit);Read;ИНР;0;52;&h01;52
okt.MB_rez;Резерв;BOOL (1 bit);Read;ИНР;0;56;&h01;56
okt.rez1;Резерв;FLOAT (4 bytes);Read;ИНР;0;100;;100
okt.E_SK1;Расход скв №1 30;FLOAT (4 bytes);Read;ИНР;0;104;;104
okt.FE;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;0;104;;104
okt.E_R;Резерв 30;FLOAT (4 bytes);Read;ИНР;0;108;;108
okt.FE1;Расход FE1;FLOAT (4 bytes);Read;ИНР;1;0;;256
okt.FE1;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;0;;256
okt.FE2;Расход FE2;FLOAT (4 bytes);Read;ИНР;1;4;;260
okt.FE2;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;4;;260
okt.FE3;Расход FE3;FLOAT (4 bytes);Read;ИНР;1;8;;264
okt.FE3;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;8;;264
okt.FE4;Расход FE4;FLOAT (4 bytes);Read;ИНР;1;12;;268
okt.FE4;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;12;;268
okt.DD1;Давление ДД1;FLOAT (4 bytes);Read;ИНР;1;16;;272
okt.DD2;Давление ДД2;FLOAT (4 bytes);Read;ИНР;1;20;;276
okt.DD3;Давление ДД3;FLOAT (4 bytes);Read;ИНР;1;24;;280
okt.E2;Уровень Е2;FLOAT (4 bytes);Read;ИНР;1;28;;284
okt.E3;Уровень Е3;FLOAT (4 bytes);Read;ИНР;1;32;;288
okt.Hz_H1;Частота ПЧ Н1;FLOAT (4 bytes);Read;ИНР;1;36;;292
okt.Hz_H2;Частота ПЧ Н2;FLOAT (4 bytes);Read;ИНР;1;40;;296
okt.Hz_H3;Частота ПЧ Н3;FLOAT (4 bytes);Read;ИНР;1;44;;300
okt.V_FE1;Объём FE1;FLOAT (4 bytes);Read;ИНР;1;48;;304
okt.V_FE2;Объём FE2;FLOAT (4 bytes);Read;ИНР;1;52;;308
okt.V_FE3;Объём FE3;FLOAT (4 bytes);Read;ИНР;1;56;;312
okt.V_FE4;Объём FE4;FLOAT (4 bytes);Read;ИНР;1;60;;316
okt.DI1;Насос НА2;INT (1 byte);Read;ИНР;1;64;;320
okt.DI1.DI_1;Включен;BOOL (1 bit);Read;ИНР;1;64;&h01;320
okt.DI1.DI_2;Авария;BOOL (1 bit);Read;ИНР;1;64;&h02;320
okt.DI1.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h04;320
okt.DI1.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h08;320
okt.DI1.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h10;320
okt.DI1.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h20;320
okt.DI1.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h40;320
okt.DI1.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h80;320
okt.DI2;Насос НА3;INT (1 byte);Read;ИНР;1;68;;324
okt.DI2.DI_1;Включен;BOOL (1 bit);Read;ИНР;1;68;&h01;324
okt.DI2.DI_2;Авария;BOOL (1 bit);Read;ИНР;1;68;&h02;324
okt.DI2.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h04;324
okt.DI2.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h08;324
okt.DI2.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h10;324
okt.DI2.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h20;324
okt.DI2.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h40;324
okt.DI2.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h80;324
okt.DI3;ПЗэ1;INT (1 byte);Read;ИНР;1;72;;328
okt.DI3.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;72;&h01;328
okt.DI3.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;72;&h02;328
okt.DI3.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h04;328
okt.DI3.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h08;328
okt.DI3.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h10;328
okt.DI3.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h20;328
okt.DI3.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h40;328
okt.DI3.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h80;328
okt.DI4;ПЗэ2;INT (1 byte);Read;ИНР;1;76;;332
okt.DI4.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;76;&h01;332
okt.DI4.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;76;&h02;332
okt.DI4.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h04;332
okt.DI4.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h08;332
okt.DI4.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h10;332
okt.DI4.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h20;332
okt.DI4.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h40;332
okt.DI4.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h80;332
okt.DI5;ПЗэ3;INT (1 byte);Read;ИНР;1;80;;336
okt.DI5.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;80;&h01;336
okt.DI5.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;80;&h02;336
okt.DI5.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h04;336
okt.DI5.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h08;336
okt.DI5.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h10;336
