tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
sev.MZ_AI1;Расход скважина №1 %;FLOAT (4 bytes);R;ИНР;0;0;;1, 0, , 0, 100, , 
sev.MZ_AI2;Резерв;FLOAT (4 bytes);R;ИНР;0;4;;1, 0, , 0, 100, , 
sev.MZ_AI3;Резерв;FLOAT (4 bytes);R;ИНР;0;8;;1, 0, , 0, 100, , 
sev.MZ_AI4;Резерв;FLOAT (4 bytes);R;ИНР;0;12;;1, 0, , 0, 100, , 
sev.Tmk;Температура на MK500;FLOAT (4 bytes);R;ИНР;0;16;;, , , , , , 
sev.MZ_DI1;Готовность НА1;BOOL (1 bit);R;ИНР;0;20;&h01;, , , , , , 
sev.MZ_DI2;Вкл. НА1;BOOL (1 bit);R;ИНР;0;24;&h01;, , , , , , 
sev.MZ_DI3;Резерв;BOOL (1 bit);R;ИНР;0;28;&h01;, , , , , , 
sev.MZ_DI4;Резерв;BOOL (1 bit);R;ИНР;0;32;&h01;, , , , , , 
sev.MZ_DI5;Резерв;BOOL (1 bit);R;ИНР;0;36;&h01;, , , , , , 
sev.MZ_DI6;Резерв;BOOL (1 bit);R;ИНР;0;40;&h01;, , , , , , 
sev.MZ_DI7;Резерв;BOOL (1 bit);R;ИНР;0;44;&h01;, , , , , , 
sev.MZ_DI8;Резерв;BOOL (1 bit);R;ИНР;0;48;&h01;, , , , , , 
sev.MB_Er;ошибка ModBus;BOOL (1 bit);R;ИНР;0;52;&h01;, , , , , , 
sev.MB_rez;Резерв;BOOL (1 bit);R;ИНР;0;56;&h01;, , , , , , 
sev.rez1;Резерв;FLOAT (4 bytes);R;ИНР;0;100;;1, 0, , , , , 
sev.E_SK1;Расход скв №1 30;FLOAT (4 bytes);R;ИНР;0;104;;1, 0, , , , , 
sev.FE;Мгновенный расход м3/час;FLOAT (4 bytes);R;ИНР;0;104;;1, 0, , , , , 
sev.E_R;Резерв 30;FLOAT (4 bytes);R;ИНР;0;108;;1, 0, , , , , 
sev.t_kont;температура контейнера;INT (4 bytes);R;ИНР;0;116;;1, 0, , 0, 100, , 
sev.FE1;Расход FE1;FLOAT (4 bytes);R;ИНР;1;0;;1, 0, , 0, 100, , 
sev.FE1;Мгновенный расход м3/час;FLOAT (4 bytes);R;ИНР;1;0;;1, 0, , , , , 
sev.FE2;Расход FE2;FLOAT (4 bytes);R;ИНР;1;4;;1, 0, , 0, 100, , 
sev.FE2;Мгновенный расход м3/час;FLOAT (4 bytes);R;ИНР;1;4;;1, 0, , , , , 
sev.FE3;Расход FE3;FLOAT (4 bytes);R;ИНР;1;8;;1, 0, , 0, 100, , 
sev.FE3;Мгновенный расход м3/час;FLOAT (4 bytes);R;ИНР;1;8;;1, 0, , , , , 
sev.FE4;Расход FE4;FLOAT (4 bytes);R;ИНР;1;12;;1, 0, , 0, 100, , 
sev.FE4;Мгновенный расход м3/час;FLOAT (4 bytes);R;ИНР;1;12;;1, 0, , , , , 
sev.DD1;Давление ДД1;FLOAT (4 bytes);R;ИНР;1;16;;1, 0, , 0, 100, , 
sev.DD2;Давление ДД2;FLOAT (4 bytes);R;ИНР;1;20;;1, 0, , 0, 100, , 
