tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
skv2.MZ_AI1;Расход скважина №1 %;FLOAT (4 bytes);Read;ИНР;0;0;;0
skv2.MZ_AI2;Резерв;FLOAT (4 bytes);Read;ИНР;0;4;;4
skv2.MZ_AI3;Резерв;FLOAT (4 bytes);Read;ИНР;0;8;;8
skv2.MZ_AI4;Резерв;FLOAT (4 bytes);Read;ИНР;0;12;;12
skv2.Tmk;Температура на MK500;FLOAT (4 bytes);Read;ИНР;0;16;;16
skv2.MZ_DI1;Готовность НА1;BOOL (1 bit);Read;ИНР;0;20;&h01;20
skv2.MZ_DI2;Вкл. НА1;BOOL (1 bit);Read;ИНР;0;24;&h01;24
skv2.MZ_DI3;Резерв;BOOL (1 bit);Read;ИНР;0;28;&h01;28
skv2.MZ_DI4;Резерв;BOOL (1 bit);Read;ИНР;0;32;&h01;32
skv2.MZ_DI5;Резерв;BOOL (1 bit);Read;ИНР;0;36;&h01;36
skv2.MZ_DI6;Резерв;BOOL (1 bit);Read;ИНР;0;40;&h01;40
skv2.MZ_DI7;Резерв;BOOL (1 bit);Read;ИНР;0;44;&h01;44
skv2.MZ_DI8;Резерв;BOOL (1 bit);Read;ИНР;0;48;&h01;48
skv2.MB_Er;ошибка ModBus;BOOL (1 bit);Read;ИНР;0;52;&h01;52
skv2.MB_rez;Резерв;BOOL (1 bit);Read;ИНР;0;56;&h01;56
skv2.rez1;Резерв;FLOAT (4 bytes);Read;ИНР;0;100;;100
skv2.E_SK1;Расход скв №1 30;FLOAT (4 bytes);Read;ИНР;0;104;;104
skv2.FE5;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;0;104;;104
skv2.E_R;Резерв 30;FLOAT (4 bytes);Read;ИНР;0;108;;108
skv2.t_kont;температура контейнера;INT (4 bytes);Read;ИНР;0;116;;116
skv2.FE1;Расход FE1;FLOAT (4 bytes);Read;ИНР;1;0;;256
skv2.FE1;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;0;;256
skv2.FE2;Расход FE2;FLOAT (4 bytes);Read;ИНР;1;4;;260
skv2.FE2;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;4;;260
skv2.FE3;Расход FE3;FLOAT (4 bytes);Read;ИНР;1;8;;264
skv2.FE3;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;8;;264
skv2.FE4;Расход FE4;FLOAT (4 bytes);Read;ИНР;1;12;;268
skv2.FE4;Мгновенный расход м3/час;FLOAT (4 bytes);Read;ИНР;1;12;;268
skv2.DD1;Давление ДД1;FLOAT (4 bytes);Read;ИНР;1;16;;272
skv2.DD2;Давление ДД2;FLOAT (4 bytes);Read;ИНР;1;20;;276
skv2.DD3;Давление ДД3;FLOAT (4 bytes);Read;ИНР;1;24;;280
skv2.E2;Уровень Е2;FLOAT (4 bytes);Read;ИНР;1;28;;284
skv2.E3;Уровень Е3;FLOAT (4 bytes);Read;ИНР;1;32;;288
skv2.Hz_H3;Частота ПЧ Н3;FLOAT (4 bytes);Read;ИНР;1;36;;292
skv2.Hz_H1;Частота ПЧ Н1;FLOAT (4 bytes);Read;ИНР;1;40;;296
skv2.Hz_H2;Частота ПЧ Н2;FLOAT (4 bytes);Read;ИНР;1;44;;300
skv2.V_FE1;Объём FE1;FLOAT (4 bytes);Read;ИНР;1;48;;304
skv2.V_FE2;Объём FE2;FLOAT (4 bytes);Read;ИНР;1;52;;308
skv2.V_FE3;Объём FE3;FLOAT (4 bytes);Read;ИНР;1;56;;312
skv2.V_FE4;Объём FE4;FLOAT (4 bytes);Read;ИНР;1;60;;316
skv2.DI1;Насос НА2;INT (1 byte);Read;ИНР;1;64;;320
skv2.DI1.DI_1;Включен;BOOL (1 bit);Read;ИНР;1;64;&h01;320
skv2.DI1.DI_2;Авария;BOOL (1 bit);Read;ИНР;1;64;&h02;320
skv2.DI1.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h04;320
skv2.DI1.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h08;320
skv2.DI1.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h10;320
skv2.DI1.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h20;320
skv2.DI1.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h40;320
skv2.DI1.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;64;&h80;320
skv2.DI2;Насос НА3;INT (1 byte);Read;ИНР;1;68;;324
skv2.DI2.DI_1;Включен;BOOL (1 bit);Read;ИНР;1;68;&h01;324
skv2.DI2.DI_2;Авария;BOOL (1 bit);Read;ИНР;1;68;&h02;324
skv2.DI2.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h04;324
skv2.DI2.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h08;324
skv2.DI2.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h10;324
skv2.DI2.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h20;324
skv2.DI2.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h40;324
skv2.DI2.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;68;&h80;324
